Date,Day Name,Start of Week,Start of Month,Start of Quarter,Month Name,Month,Year,Start of Year,Month Number(DAX),Month Short,today,Day of week,Weekend,MM/YY
01-07-2020,Wednesday,29-06-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,3,weekday,July 2020
02-07-2020,Thursday,29-06-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,4,weekday,July 2020
03-07-2020,Friday,29-06-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,5,weekday,July 2020
04-07-2020,Saturday,29-06-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,6,weekend,July 2020
05-07-2020,Sunday,29-06-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,7,weekend,July 2020
06-07-2020,Monday,06-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,1,weekday,July 2020
07-07-2020,Tuesday,06-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,2,weekday,July 2020
08-07-2020,Wednesday,06-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,3,weekday,July 2020
09-07-2020,Thursday,06-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,4,weekday,July 2020
10-07-2020,Friday,06-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,5,weekday,July 2020
11-07-2020,Saturday,06-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,6,weekend,July 2020
12-07-2020,Sunday,06-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,7,weekend,July 2020
13-07-2020,Monday,13-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,1,weekday,July 2020
14-07-2020,Tuesday,13-07-2020,01-07-2020,01-07-2020,July,7,2020,01-01-2020,pata nhi,July,13-03-2026,2,weekday,July 2020
